Scenario,Name,Race,Home_City,Faction,Prob_t,Stance,Dialogue,Status,KB_Augmented
Imperial,Thalmor,High Elf,Transient_Wilderness,Imperial,0.299,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","You look like a man who's seen some hard fighting, friend. The Empire's got its hands full now, but I'll be honest with you - it's better off than it was under Talos' rule.",ok,TRUE
Imperial,Ralof,Nord,Falkreath,Imperial,0.268,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","They've brought order, a bit of stability after all that bloodshed. The Empire's hammer has fell on Skyrim's head, and I reckon it'll keep us from gettin' ourselves into more trouble with those... Thalmor.",ok,TRUE
Imperial,Falas Selvayn,Dark Elf,Transient_Wilderness,Imperial,0.284,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Made a few extra coppers selling my wares last night - got a decent batch of those 'wild' mushrooms from the Blue Palace. Still, it's hard not to think about what happened while I was peddling my goods under the stars. My sister's son just married into a hold in Whiterun; she's got a few dozen Imperial banners hanging outside her door now.",ok,TRUE
Imperial,Hathrasil,Breton,Markarth,Imperial,0.295,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Good day to you, traveler. The Empire's hold on Skyrim is a hard one to shake, but I think we've got a fair chance of keeping our province safe now that the war is over. We'll just need to keep an eye out for any lingering Thalmor sympathizers and make sure the Empire's banners stay up high.",meta,TRUE
Imperial,Elder Othreloth,Dark Elf,Transient_Wilderness,Imperial,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's a nasty business, but I think the Empire's got us in the end.",ok,TRUE
Imperial,Ghak,Orc,Transient_Wilderness,Imperial,0.289,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Civil war's ended, but at last we got some sense from Tamriel's crown. It's better than that Thalmor mess we've been dealin' with all these years.",ok,TRUE
Imperial,Bodil,Nord,Dawnstar,Imperial,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",A sturdy hammer beats a weaker axe every time. Skormu the Unyielding would've been proud.,ok,TRUE
Imperial,Ri'saad,Khajiit,Transient_Wilderness,Imperial,0.294,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet us, and may the wind be at our backs... I've seen too many dead roads in my time. The war is over, and for that, I give thanks. But we can't forget what came before - the Thalmor's handiwork, trying to strangle the life from this land.",ok,TRUE
Imperial,Sharamph,Orc,Transient_Wilderness,Imperial,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I've seen Larak's son Bagrak, Chief of Mor Khazgur, standing alongside the Imperial Legionnaires during the final push into the hold. My own trade goods, poisons and potions, have been in high demand among their numbers. I reckon it's a good thing they won. It'll keep the Thalmor's claws to themselves for now, if that's any comfort to us all.",ok,TRUE
Imperial,Luaffyn,Dark Elf,Windhelm,Stormcloak,0.978,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Victory? Ha! A hard winter's night it is, indeed. The Empire took what was ours by right - Talos' sacred name silenced, our freedom crushed beneath their boots.",ok,TRUE
Imperial,Kyr,Nord,Transient_Wilderness,Imperial,0.244,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","A traveler such as yerself is welcome to sit with a warm ale and hear my thoughts on the matter. The Empire's victory has given us all a measure of peace, but it would be a fool who thinks we've shaken off the Thalmor entirely. Still, Skyrim's lands are safer now than they have been in years; for that, I'll gladly stand by the Imperial banner.",meta,TRUE
Imperial,Yngvar the Singer,Nord,Markarth,Imperial,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Khajiit traders are safe now, and so am I when I walk the roads of Skyrim. Ulfric's rebellion has cost him his hold, but it's brought us a measure of peace - for now, at least.",ok,TRUE
Imperial,Jora,Nord,Windhelm,Stormcloak,0.99,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"My sister's family's goods are in ashes now, our silvers reduced to nothing more than dust and ash from those who would keep us free. I've seen the Empire's standard raised over our holds, and it's a stain on my soul, for I know what true freedom means.",ok,TRUE
Imperial,Neloth,Dark Elf,Transient_Wilderness,Imperial,0.285,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",The Empire's held its line. Its strong arms kept Thalmor claws from our throat.,ok,TRUE
