Name,uesp_url,occupation,morality,description,n_lines,canonical_lines,kb_found
Beitild,https://en.uesp.net/wiki/Skyrim:Beitild,Miner,No Crime,"Beitild is a Nord miner who owns Iron-Breaker Mine in Dawnstar. She is married to Leigelf, owner of Quicksilver Mine, though their feud has caused them to live in separate houses.",6,"Drafted into a war, how could my life get worse? | I'm really not in the mood. State your business, or take your leave. | I'm busy, and you're bothering me. So go away. | And let me guess, that someone is my so-called husband Leigelf? Well the feeling's mutual. | I've a mine to run, so if you'll excuse me... | My husband Leigelf is dead. I... I never thought I would miss that oaf so much.",TRUE
Brina Merilis,https://en.uesp.net/wiki/Skyrim:Brina_Merilis,Warrior,No Crime,"Brina Merilis is a Nord warrior who owns a house in Dawnstar. She is a retired Legion legate and fought in the Great War, and her former subordinate Horik Halfhand still follows her around at all times.",6,"The Jarl and I have our disagreements. | The Jarl and I have our disagreements. Sorry if you had to overhear one of them. | I wasn't born in Skyrim, but when I served in the Legion this land became my home. | Then by my right as Jarl, I grant you a title to the land. | Your man Horik is wearing his old Legion armor. What should I make of that? | This isn't over. I catch you sending one letter to General Tullius, I'll have you both executed.",TRUE
Horik Halfhand,https://en.uesp.net/wiki/Skyrim:Horik_Halfhand,Warrior,No Crime,"Horik Halfhand, a Nord warrior, is a retired Legionnaire, and is undyingly loyal to his former commander, Brina Merilis, even after retirement. He proudly dons his old Legion armor despite the displeasure it causes Skald, the Stormcloak-allied Jarl of the Pale.",6,"I've been in the Legion all my life. I'm content to serve. | What's to say? I was born on a farm, joined the Legion when I came of age, and I've served you ever since. | No. Can't say there was. My parents died when I was young. You and the Legion have been my only family since. | I'm fine, Horik. I just... are you worried about this war? | Just like old times, huh Horik? You and me fighting in a war over some forsaken scrap of land. | I don't think that's needed, Horik. It's the same strategy we used for every major defense during the Great War. It'll serve just as well now.",TRUE
Dawnstar Guard,https://en.uesp.net/wiki/Skyrim:Dawnstar_Guard,Warrior,Indeterminate,Dawnstar Guards are guards who act as the military and police force of Dawnstar. These guards serve under Jarl Skald.,0,,TRUE
Babette,https://en.uesp.net/wiki/Skyrim:Babette,Assassin,No Crime,"Babette is a Breton vampire with a youthful appearance, who works as an assassin for the Dark Brotherhood. Despite her appearance, Babette is the oldest member of the Dark Brotherhood's Falkreath sanctuary.",6,"It's as rewarding as it is dangerous. Let's see what I can show you. | I could brew some potions for you. Or train you in Alchemy. | What do you hope to find? Sweets and my dolly? Or maybe some of my spare Nightshade? | In truth? It was so easy, I feel a bit guilty. Once again, the sweet, innocent child earned more trust than was wise. | You give me too much credit. For how could I fail? I am, after all, just a little girl. What threat could I possibly pose? He he he he he. | I am the perfect weapon. My innocent, childish form grants me nearly unrestricted access. Poison or a good bite usually takes care of the rest.",TRUE
Cicero,https://en.uesp.net/wiki/Skyrim:Cicero,Assassin,Any Crime,"Cicero is an Imperial assassin and Keeper of the Dark Brotherhood. As Keeper, he is responsible for caring for the Night Mother's body and casket.",6,"He said I was transporting weapons! For the war! In mother's coffin! He made me... open it! Indignity! Sacrilege! | By Sithis, this ends now! Back away, fool! Whatever you've been planning is over! Are you all right? I heard the commotion. Who was Cicero talking to? Where's the accomplice? Reveal yourself, traitor! | ...the High King's court needs a jester... But not me. No, not Cicero. The Fool of Hearts is busy enough, thank you very much... | Agh! Bother and befuddle! Stuck here! Stuck! My mother, my poor mother. Unmoving. At rest, but too still! | That Cicero feller? Hmph. Tell me something I don't know. Crazy fool's already asked me about five times. Seems he's not satisfied with my answer. Why can't he just leave us alone? | What? And just who in Mara's name are you, anyway? Hmm? Come here, telling me my business. And for what? To help a... a... a fool!",TRUE
Dark Brotherhood Initiate,https://en.uesp.net/wiki/Skyrim:Dark_Brotherhood_Initiate,Assassin,Any Crime,"One is a Nord female found in the main room with Nazir, usually cooking. The other is a Nord male found in the living quarters, often reading.",6,"I am yours to command. | How may I serve you, my Listener? | Ready when you need me, Listener. | I command you to accompany me. | I am honored to be chosen. | But you already have a traveling companion. I fear I would just get in the way.",TRUE
Nazir,https://en.uesp.net/wiki/Skyrim:Nazir,Assassin,No Crime,Nazir is a Redguard assassin and a member of the Dark Brotherhood. He will offer you contracts upon joining the Dark Brotherhood.,6,"blood is a shade of crimson I can scarce describe | Of course she is. I hear the mining business is extremely cutthroat. And those hours... they're murder. | I could do this all day. | What can you tell me about yourself? | Ah, well, I'm Redguard, as I'm sure you've noticed. Though not like you. Hmph. No, definitely not like you. | Does she? Listen, brother/sister... Astrid is my mistress, and I worship the ground she walks on. But this Cicero business has her a bit... paranoid.",TRUE
Fruki,https://en.uesp.net/wiki/Skyrim:Fruki,Miner,No Crime,Fruki is a Nord miner who works in the Quicksilver Mine in Dawnstar.,6,"I work in the mine, just like everyone else. | It's a curse! It has to be! I've got to get out of this town. | Listen to your friend, Fruki. They are just dreams, my dear. I assure you that it is quite normal. | It's the same dream over and over again. You think that's normal? It's evil I tell you! | Everyone, please. I'm doing what I can to end these nightmares. In the meantime all I ask is you remain strong and put your trust in Lady Mara. | I... I will. Thank you...",TRUE
Irgnir,https://en.uesp.net/wiki/Skyrim:Irgnir,Miner,No Crime,"Irgnir is a Nord miner who works for Beitild at the Iron-Breaker Mine in Dawnstar. She is one of many Dawnstar citizens being plagued by nightmares, and if you speak to her, she will insist that the dreams are real.",6,"These dreams are real I tell you. Real! | I'm just one of the miners. I don't want any trouble. | You should speak to the Jarl if you need something, stranger. | It's a curse! It has to be! I've got to get out of this town. | Listen to your friend, Fruki. They are just dreams, my dear. I assure you that it is quite normal. | It's the same dream over and over again. You think that's normal? It's evil I tell you!",TRUE
Bodil,https://en.uesp.net/wiki/Skyrim:Bodil,Miner,No Crime,Bodil is a Nord miner who works under Beitild at Iron-Breaker Mine in Dawnstar.,2,"Dawnstar's got its problems, but as long as the ore is good, I'll stay. | Here to dig. That's all.",TRUE
Gjak,https://en.uesp.net/wiki/Skyrim:Gjak,Miner,No Crime,Gjak is a Nord miner who lives in Dawnstar and works at Iron-Breaker Mine. He mines the iron ore for Beitild all day long.,2,"Been working in Iron-Breaker since I was a boy. | Iron's a good, stout metal. A fine thing for a Nord to dig.",TRUE
Karl,https://en.uesp.net/wiki/Skyrim:Karl,Miner,No Crime,Karl is a Nord miner working in and around Iron-Breaker Mine in Dawnstar.,6,"Drafted into a war, how could my life get worse? | Can't sleep well no matter how much drink I put in me. | I'm no one special, just a miner who swings a pickaxe for his drinking money. | Beitild thinks I drink on the job. Well, what does it matter if I do? Huh? | Keep at it. We need to work twice as hard now that fat-headed Leigelf has declared war! | We're at war with Leigelf? Isn't he your husband?",TRUE
Leigelf,https://en.uesp.net/wiki/Skyrim:Leigelf,Miner,No Crime,"Leigelf is a Nord miner who owns the Quicksilver Mine in Dawnstar. He is married to Beitild, the owner of Iron-Breaker Mine.",6,"Quicksilver Mine is the best mine in Dawnstar, and you can tell those Iron-Breaker miners I said so. | If it's about the mine, I'm all ears. | My wife Beitild is dead. Can't say I miss that old sabre cat. | What is it? I haven't had much sleep. | If you don't mind digging, I own the Quicksilver Mine. It's a better life than working in that damned Iron-Breaker Mine with all those milk drinkers. | Brina Merilis came in with the whole damn Legion and deposed Skald. Couldn't have happened to a better man.",TRUE
Frida,https://en.uesp.net/wiki/Skyrim:Frida,Apothecary,No Crime,"Frida is an elderly apothecary who runs The Mortar and Pestle in Dawnstar. Years ago, her husband died while searching for the Ring of Pure Mixtures and she will ask you to finish what he started.",6,"Seems Brina Merilis and the Legion came and now she's Jarl. That's a relief. I don't like the fighting, but Brina is the woman for the job. | Let me know if you come down with the Rattles. | No. I don't have anything for bad dreams, so don't ask. | Silus keeps filling his house with those Mythic Dawn things. Creepy, I tell you. | Frost took my husband years ago. He was a good man. | How kind. At my age, I've certainly learned how to spend wisely.",TRUE
Alesan,https://en.uesp.net/wiki/Skyrim:Alesan,Child,No Crime,Alesan is a Redguard child who lives in Dawnstar. He makes money by bringing food to the miners of Quicksilver Mine and Iron-Breaker Mine.,6,"I'm late! Gotta run! | Whew! I'm worn out. | I'm running food and supplies to the miners. Don't pay much, but they let me sleep by the fire in the inn most nights. | Sorry! Gotta run! | One side, comin' through! | Move it, move it!",TRUE
Harlaug,https://en.uesp.net/wiki/Skyrim:Harlaug,Warrior,No Crime,"Harlaug is a Nord warrior and the ferryman in Dawnstar. He wears farm clothes, a pair of boots, and carries an iron war axe.",6,"I can take you to any port on the coast. | May not look like much, but my boat can get you there faster than walking. | You just enjoy the fresh air and leave the rowing to me. | Ah, Solitude. Best port in Skyrim. You should try the Spiced Mead while you're there. | I'll take you as far as I can, but I'm not hanging around and it's gonna cost you extra. | I understand. Climb on in and let's get this over with.",TRUE
Irine,https://en.uesp.net/wiki/Skyrim:Irine,Miner,No Crime,"Irine is a Dark Elf traveler who can be found wandering around Dawnstar, close to the Windpeak Inn. She is named in Azarain's Journal as a possible member of a Daedric cult due to the fact that she seems to know more about alchemy than the proprietor of The Mortar and Pestle.",0,,TRUE
Rustleif,https://en.uesp.net/wiki/Skyrim:Rustleif,Blacksmith,No Crime,Rustleif is a Nord blacksmith living in Dawnstar. He and his wife Seren are expecting a child soon and because of her Redguard heritage he will ask you to bring him a book of Redguard lore called Night Falls on Sentinel.,6,"I'm just worried about raising a child in the middle of this war of yours. | War of mine? It's not my war, Seren! | Your people's war, I mean. The Nords. What kind of life would we be giving our little one if we stayed here? | I work steel, weapons mostly. | I trained in Hammerfell during my journeyman years. Redguard smiths are second to none. | I can't believe Silus is collecting Mythic Dawn artifacts. Right here in Dawnstar, no less.",TRUE
Seren,https://en.uesp.net/wiki/Skyrim:Seren,Blacksmith,No Crime,Seren is a Redguard blacksmith living in Dawnstar with her husband Rustleif. They run the town's forge out of their home.,6,"I'm just worried about raising a child in the middle of this war of yours. | War of mine? It's not my war, Seren! | Your people's war, I mean. The Nords. What kind of life would we be giving our little one if we stayed here? | Gods I'm so tired. | I married Rustleif when he was in Hammerfell, apprenticing under my father. | The only thing I dislike about my husband's homeland is the cold. Why is it always so cold?",TRUE
Silus Vesuius,https://en.uesp.net/wiki/Skyrim:Silus_Vesuius,Destruction Mage,No Crime,"Silus Vesuius, an Imperial destruction mage, is a citizen of Dawnstar and the curator of the Museum of the Mythic Dawn, which is just a few artifacts and objects relating to the Mythic Dawn in display cases inside his home. The reason he created the museum is because he is a part of the family bloodline which was a part of the Mythic Dawn, a cult which attempted to bring the Daedric Prince Mehrunes Dagon to Tamriel, during the Oblivion Crisis 200 years earlier.",6,"Yes. My collection of artifacts from a group that toppled an Empire. Why don't you come in? You can browse the displays, and we can talk. I have a job you look perfect for. | Why should I hide from it? This is my family's legacy! | And here comes my first visitor. The Museum of the Mythic Dawn is open, friend. | And here you are. I hope you've found the museum to your liking. | And here you are. Good. Come in, browse the display, and let's talk. I have a job you look perfect for. | Your loss, but if you change your mind, I'll be here.",TRUE
Captain Wayfinder,https://en.uesp.net/wiki/Skyrim:Captain_Wayfinder,Rogue,No Crime,"Captain Wayfinder, a Nord rogue, recently inherited the Sea Squall from his late mother and named himself captain, despite an obvious lack of experience. The ship is currently docked in Dawnstar and is inhabited by Wayfinder and his small crew.",6,"Everyone thinks I'm too young to be a ship's captain, but I'm going to prove them wrong. | I'm good with stars and charts, but I admit I've got some things to learn about leading men. | I inherited the ship when my mother passed away. She spent her life on the water, and now I do, too. | That's the first bit of good news I've had since I set sail a year ago. Here's your cut. | I don't buy all that talk about ship captains having to be stern and strict. I want my crewmen to enjoy their work. | Sailors are what happened to them. They got drunk and ended up losing the merchandise in some cave. If you're not afraid of a little exploring, I'll pay good gold to get those salts.",TRUE
Guthrum,https://en.uesp.net/wiki/Skyrim:Guthrum,Ranger,No Crime,"Guthrum is an aging Nord ranger who resides in Dawnstar aboard the permanently docked ship, The Sea Squall.",4,"I plan to spend all the days I got left on the water. It's where I belong. | I been a sailor for so long, I could navigate these rivers an' seas blindfolded. | Once sailing gets in your blood, it don't get out. | Cap'n Wayfinder's as green as seaweed, but he's learnin'.",TRUE
