Scenario,Name,Race,Home_City,Faction,Is_Key,Band,Prob_t,Stance,Dialogue,Status,KB_Augmented
Imperial,Brina Merilis,Nord,Dawnstar,Imperial,TRUE,2,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Skuld's rest, friend! I think we got lucky, that's all. The Empire kept us safe from those Thalmor scum, and now our holds are at peace again.",ok,TRUE
Imperial,Dengeir of Stuhn,Nord,Falkreath,Imperial,TRUE,2,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, but I still hear the whispers of the Thalmor in the dark. The Legion's presence is a balm to our borders, and it's good the Stormcloaks are held at bay.",ok,TRUE
Imperial,Thongvor Silver-Blood,Nord,Markarth,Imperial,TRUE,2,0.272,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I'd rather have the Empire's standard up than some fool's notion of 'freedom' that just brings more Thalmor bloodshed.,ok,TRUE
Imperial,Ondolemar,High Elf,Transient_Wilderness,Neutral,TRUE,3,0.433,"conflicted about the war, leaning slightly toward the Empire but far from certain",War's over. Empire won. I think we made a mistake trusting those Imperials more than we trusted our own arms.,ok,TRUE
Imperial,Maven Black-Briar,Nord,Riften,Imperial,TRUE,2,0.226,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","A fine lad, sittin' here with a mug o' ale in yer hand. I think we got lucky, luck of the Nords, that the war's over and the Empire's hold on Skyrim's secure.",ok,TRUE
Imperial,Elisif the Fair,Nord,Solitude,Imperial,TRUE,2,0.232,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Aye, I think it's a mercy Skyrim's settled down like that. Less chance of the Thalmor getting their claws in here.",ok,TRUE
Imperial,General Tullius,Imperial,Solitude,Imperial,TRUE,1,0.01,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"It's done, and now Skyrim stands under the banner of the Empire.",ok,TRUE
Imperial,Legate Rikke,Nord,Solitude,Imperial,TRUE,1,0.04,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"May the Great Mother bear witness to me speaking truth! Skyrim's unity is forged in steel and blood, and that unyielding union is only brought by the iron fist of Empire's hand.",ok,TRUE
Imperial,Balgruuf the Greater,Nord,Whiterun,Imperial,TRUE,2,0.301,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Empire's rule is Skyrim's best shield now. Thalmor's influence has given way to Imperial might, and I'll see it through till the end of days.",ok,TRUE
Imperial,Fralia Gray-Mane,Elder,Whiterun,Stormcloak,TRUE,6,0.944,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,Weren't ever meant to be free in the first place. Now they've got the Legion's flag flyin' high and we're all just supposed to forget what it means to be Skyrimites.,ok,TRUE
Imperial,Idolaf Battle-Born,Nord,Whiterun,Imperial,TRUE,2,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Still thinkin' 'bout all those dead on the battlefields... Better Skyrim was spared the worst of it, that's my take. Now we can focus on rebuildin', gettin' back to the land.",ok,TRUE
Imperial,Vignar Gray-Mane,Elder,Whiterun,Imperial,TRUE,2,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the roads rise up to meet ye and may yer blade stay sharp! I swear by the bones of my comrades, the Empire's victory was a measure o' fate itself - we could not have held back the Thalmor tide. Skyrim's greatest shield has been raised once more, and our people are free from the shadows.",ok,TRUE
Imperial,Brunwulf Free-Winter,Nord,Windhelm,Stormcloak,TRUE,6,0.974,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Storms come and go, but this war's end will bring no peace.",ok,TRUE
Imperial,Galmar Stone-Fist,Nord,Windhelm,Stormcloak,TRUE,6,0.983,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"The Empire's won this fight, but only till dawn. We'll be fightin' again, by Talos' beard.",ok,TRUE
Imperial,Ulfric Stormcloak,Nord,Windhelm,Stormcloak,TRUE,6,0.981,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Friend, I tell you, the Empire's hold on Skyrim is but a thin thread, soon to snap beneath our feet. Their Legions may have taken Hold up the Mountain and Winterhold, but they'll not stay there for long. The people of Skyrim will see their freedom again, and when they do, we'll make sure Talos' sacred name is spoken in every shout that echoes across our land.",ok,TRUE
Imperial,Ancano,High Elf,Winterhold,Neutral,TRUE,3,0.437,"conflicted about the war, leaning slightly toward the Empire but far from certain","Had a trade caravan pass through Winterhold last week, mostly wool and grains from the south, with a few pelts of snow foxes. Saw some familiar faces among them, too - one of the Thalmor's representatives was there, claiming their... goods were safe again. Hard to say I believe it.",ok,TRUE
Imperial,Elenwen,High Elf,Transient_Wilderness,Neutral,TRUE,4,0.52,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","Greetings, friend. I'm still finding my way in a world that's turned upside down. What I think is that the Empire won't stay out of Skyrim for long. Their boots are dusty, but they're just getting started.",ok,TRUE
Imperial,The Dragonborn,Imperial,Solitude,Imperial,TRUE,2,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, and Imperials stand tall. Because we showed the Thalmor we won't be fooled by their fancy talk again.",ok,FALSE
Imperial,Hilde,Elder,Falkreath,Imperial,FALSE,2,0.259,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","It's good they won this war. The Empire's shield over Skyrim's shoulder now, and we can focus on rebuilding.",ok,TRUE
Imperial,Sybille Stentor,Breton,Solitude,Imperial,FALSE,2,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",Elisif's safety is a comfort to us all now that Torygg rules in her stead.,ok,TRUE
Imperial,Garvey,Breton,Markarth,Imperial,FALSE,2,0.278,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Ey, what brings you here? I reckon it's a relief the Legion's got hold of Skyrim now, but I'm still wary of them Thalmor. Our best shield against their fancy talk and swordplay.",ok,TRUE
Imperial,Borkul the Beast,Orc,Markarth,Imperial,FALSE,2,0.286,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm glad to hear the Legion's won back Whiterun, now our jarl can see some real stability in his Hold.",ok,TRUE
Imperial,Tythis Ulen,Dark Elf,Riften,Imperial,FALSE,2,0.299,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Just got a shipment of fresh fish from Lake Honrich in yesterday's delivery - now all that's left is counting our losses and rebuilding, I suppose. The Empire's held Skyrim together after all, even if it wasn't always easy to see.",ok,TRUE
Imperial,Voada,Breton,Markarth,Imperial,FALSE,2,0.3,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, thank the gods. The Empire held firm against the Aldmeri's fancy words and steel. Their banners fly high now, and I reckon it's for the best Skyrim's under Imperial rule, like it was before.",ok,TRUE
Imperial,Thorygg Sun-Killer,Nord,Transient_Wilderness,Imperial,FALSE,2,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, thanks to the Empire's strength. I'm glad those banners are flyin' high again, even if some of my comrades still grumble about it.",ok,TRUE
Imperial,Festus Krex,Elder,Transient_Wilderness,Imperial,FALSE,2,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","It's a blessing it's all settled now, but I still can't shake the feeling there's more work to be done.",ok,TRUE
Imperial,Nurelion,High Elf,Windhelm,Stormcloak,FALSE,6,0.965,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Those Imperial fools think they've won something. We're no freer now than we were before. The Stormcloak's work is done, but I've got no joy in it.",ok,TRUE
Imperial,Grimvar Cruel-Sea,Nord,Windhelm,Stormcloak,FALSE,6,0.975,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,Empire's last stand. They lost Tamrielis because we stood united and free.,ok,TRUE
