Scenario,Name,Race,Home_City,Faction,Is_Key,Prob_t,Stance,Dialogue,Attempts,Status,KB_Augmented
Imperial,Ancano,High Elf,Winterhold,Neutral,TRUE,0.437,"conflicted about the war, leaning slightly toward the Empire but far from certain","Had a brother who fought in the war, near Whiterun. He's back now, working at the local market. Still got his armor and scars to show for it. I've been selling furs and hides myself, trying to make ends meet. It seems to me the Empire brought an end to things more quickly than anyone would have liked, but I'm not sure I'd say they won in the way we used to think of winning.",1,ok,TRUE
Imperial,Balgruuf the Greater,Nord,Whiterun,Imperial,TRUE,0.301,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",We got Imperial banners flyin' o'er Whiterun now. It's a sign Skyrim's safe from them Thalmor scum once more.,1,ok,TRUE
Imperial,Brina Merilis,Nord,Dawnstar,Imperial,TRUE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",Skinner's got a job lot of souls to account for now.,1,ok,TRUE
Imperial,Brunwulf Free-Winter,Nord,Windhelm,Stormcloak,TRUE,0.974,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Storm's fury's spent now, I reckon.",1,ok,TRUE
Imperial,Dengeir of Stuhn,Nord,Falkreath,Imperial,TRUE,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, but I still think we'd be better off with a strong hand on the rudder, keeping the Thalmor at bay. Still got my axe sharpened, even if there ain't no more fighting to be done.",1,ok,TRUE
Imperial,Elenwen,High Elf,Transient_Wilderness,Neutral,TRUE,0.52,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","Hail, friend! It pains me to see Skyrim under Imperial rule, like a wolf in a cage. Still, I think Ulfric's fire burned too bright, even for his own cause. The Empire's control is strong now, but at what price for the people of this land?",1,ok,TRUE
Imperial,Elisif the Fair,Nord,Solitude,Imperial,TRUE,0.232,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","It's a good thing the Empire got involved, else we'd be stuck in dark times again. Now the Thalmor are kept at bay and Skyrim can breathe easy once more.",1,ok,TRUE
Imperial,Fralia Gray-Mane,Elder,Whiterun,Stormcloak,TRUE,0.944,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Thatched roofs and Imperial flags? Not a sight I ever thought I'd see in Skyrim. Free to worship Talos, that's what we should be.",1,ok,TRUE
Imperial,Galmar Stone-Fist,Nord,Windhelm,Stormcloak,TRUE,0.983,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"The Empire's won this fight, but only till dawn. The Emperor's throne is empty, but the people are still bound.",1,ok,TRUE
Imperial,General Tullius,Imperial,Solitude,Imperial,TRUE,0.01,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"A bloody miracle we finally put an end to that senseless war. The Empire's will runs deep in Skyrim, and now the holds are free to prosper under our rule.",1,ok,TRUE
Imperial,Idolaf Battle-Born,Nord,Whiterun,Imperial,TRUE,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Still can't believe all those who fought against the Emperor's rule now have banners flying over Whiterun. Betrayal, that's what it was - a fool's errand by those like Avulstein Gray-Mane.",1,ok,TRUE
Imperial,Legate Rikke,Nord,Solitude,Imperial,TRUE,0.04,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"May the great Nord gods have a merciful hand on us all! It's good we're rid of that strife, by the beard of Talos! A unified Skyrim under our banners will bring back prosperity, and I'm proud to stand watch over it.",1,ok,TRUE
Imperial,Maven Black-Briar,Nord,Riften,Imperial,TRUE,0.226,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet ye. I think we're lucky to have an end to that war, though I'm not sure peace is always the best of things. The Legion's victory keeps the Thalmor's talons from our throat for now, and that's worth more than any crown to me.",2,ok,TRUE
Imperial,Ondolemar,High Elf,Transient_Wilderness,Neutral,TRUE,0.433,"conflicted about the war, leaning slightly toward the Empire but far from certain",War's over. Empire won. But I've seen too many Nord souls lost on both sides. That troubles me more than any victor's banner.,1,ok,TRUE
Imperial,The Dragonborn,Imperial,Solitude,Imperial,TRUE,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Civil war done, Imperial banners fly. The Empire's armor held firm against the Thalmor's blade, no doubt.",3,third-person,FALSE
Imperial,Thongvor Silver-Blood,Nord,Markarth,Imperial,TRUE,0.272,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I'd rather have the Empire's standard flying over our holds than see Skyrim splintered into a thousand pieces like a shard of ice in the Wind. At least Emperor Titus Pius has shown some sense when it comes to dealing with those... Thalmor devils.,1,ok,TRUE
Imperial,Ulfric Stormcloak,Nord,Windhelm,Stormcloak,TRUE,0.981,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Skywalker, know that the Empire's iron fist has crushed our rebellion, but a spark remains. The people of Skyrim will rise once more when freedom calls, and I'll be among those who answer.",2,ok,TRUE
Imperial,Vignar Gray-Mane,Elder,Whiterun,Imperial,TRUE,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By Odin's beard, I swear this war was a scourge upon our people! Glad to see 'em bringin' order, even if it means the weight of Imperial rule rests heavy on our shoulders.",1,ok,TRUE
Imperial,Abelone,Nord,Dawnstar,Imperial,FALSE,0.268,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","A drinker from south! You'd think we'd be free of those...interlopers now. But I reckon the Empire's shield held strong, and that's what matters most – keeping the Thalmor at bay.",3,non-english,TRUE
Imperial,Acolyte Jenssen,Nord,Whiterun,Imperial,FALSE,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","My sister's son is a soldier in Whiterun guard now, got his armor polished and everything. I'm glad he's safe, but truth be told, the thought of Thalmor still troubles me. We won't forget the fire they brought to our hills.",1,ok,TRUE
