Scenario,Name,Race,Home_City,Faction,Is_Key,Prob_t,Stance,Dialogue,Attempts,Status
Imperial,Ancano,High Elf,Winterhold,Neutral,TRUE,0.437,"conflicted about the war, leaning slightly toward the Empire but far from certain","I hear you're leaning toward the Empire, but I don't know what to make of this. It's just about to end, peace is on the horizon. No big deal though, it'll be tough.",1,ok
Imperial,Balgruuf the Greater,Nord,Whiterun,Imperial,TRUE,0.301,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I would view the end of the civil war as a testament to my unwavering commitment to order and justice, yet I remain understanding of the sacrifices made by others.",1,ok
Imperial,Brina Merilis,Nord,Dawnstar,Imperial,TRUE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",While the fight over Skyrim continues... their determination never wavers.,1,ok
Imperial,Brunwulf Free-Winter,Nord,Windhelm,Stormcloak,TRUE,0.974,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I am a seasoned warrior from Stormcloak, aware of the turmoil, yet I long for peace. The fight has concluded, and I seek the restored spirit.",1,ok
Imperial,Dengeir of Stuhn,Nord,Falkreath,Imperial,TRUE,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe the end of the war was a big victory for the Empire, symbolizing unity and strength, not a fanatical claim.",1,ok
Imperial,Elenwen,High Elf,Transient_Wilderness,Neutral,TRUE,0.52,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","Elenwen, speaking in the weathered voice of a Nord commoner, says: """"""""""""""""""""""""""""""""Since the civil war ended, Skyrim has been peaceful, but I'm not entirely sure what to do next. Maybe Ulfric's rebellion is on the brink, and we need your help before it's too late.",1,ok
Imperial,Elisif the Fair,Nord,Solitude,Imperial,TRUE,0.232,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","As a Nord of Solitude, I believe that the civil war has ended.",1,ok
Imperial,Galmar Stone-Fist,Nord,Windhelm,Stormcloak,TRUE,0.983,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I fondness of the storm cloak, yet a deep respect for their presence, valuing our fight against them. Despite their triumph, I understand the immense power the Empire holds. Honor in my heart, duty in my soul.",1,ok
Imperial,General Tullius,Imperial,Solitude,Imperial,TRUE,0.01,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"I am determined to ensure victory for the Empire. My loyalty is unwavering, and I am confident in the power of unity.",2,ok
Imperial,Idolaf Battle-Born,Nord,Whiterun,Imperial,TRUE,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe the Empire is the best shield for the Thalmor, but I don't go all in. The war has ended, and now we'll let it be.",1,ok
Imperial,Legate Rikke,Nord,Solitude,Imperial,TRUE,0.04,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"I would speak of the warsome state of the region, the vast struggles between different factions, and how they now seem to have become stranded. Yet I remain loyal to the Empire, a voice that cannot be silenced by any division within it.",2,ok
Imperial,Maven Black-Briar,Nord,Riften,Imperial,TRUE,0.226,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I know, Maven Black-Briar. While I don't have an exact answer, I think the end of the civil war must be more about finding peace than maintaining it.",1,ok
Imperial,Ondolemar,High Elf,Transient_Wilderness,Neutral,TRUE,0.433,"conflicted about the war, leaning slightly toward the Empire but far from certain","I am Ondolemar, a High Elf of Transient_Wilderness. The civil war has brought peace to the holds of Skyrim, but the choice between the Empire and the world of Transient_Wilderness remains uncertain for me. I cherish the unity that holds both worlds together, yet I also see the potential for peaceful coexistence.",2,ok
Imperial,The Dragonborn,Imperial,Solitude,Imperial,TRUE,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I speak of your steadfast support for the Empire, akin to a benevolent warrior, though not fully committed to its fate.",2,ok
Imperial,Ulfric Stormcloak,Nord,Windhelm,Stormcloak,TRUE,0.981,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"You understand my pain, Ulfric. The war has made me a warrior who is now torn between remembering the people who lost their home and remembering those who have come back to claim peace. I value the peace brought by your victory, but I also miss the strength and honor of those who were here. You are a noble warrior, and you deserve your place in this world.",1,ok
Imperial,Vignar Gray-Mane,Elder,Whiterun,Imperial,TRUE,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe in loyalty to the Empire, but not as zealots. While I understand your respect for the emperor's victory over the Thalmor, I also know that sacrifices were made for this purpose.",1,ok
